"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"147",4364627,3838351,344032,16787,10721,18730,65008,35450,44964,42307,23339,505305,87123,190082,76575,178502,69955,26844,15834,41782,"04000US21","westky"
"148",48217,17182,29399,468,23,206,696,289,439,520,163,4978,613,2257,410,1796,438,408,240,35001,"16000US2200975","alexandria"
"149",229572,90784,125201,800,278,743,957,987,2409,3306,1144,16535,3086,9867,2620,12593,4154,2207,2247,37419,"16000US2205000","batonrouge"
"150",33700,22178,8199,351,137,424,751,341,532,305,245,3382,781,1367,460,928,361,221,154,45869,"16000US2236255","houma"
"151",121744,78772,37393,597,119,248,628,548,868,967,552,9099,1816,6340,1737,8291,2204,1377,682,43928,"16000US2240735","lafayette"
"152",72741,34508,34438,207,96,270,552,609,779,859,267,7215,1116,3543,1378,3288,802,271,470,33836,"16000US2241155","lakecharles"
"153",49013,15903,31504,308,82,284,215,520,276,698,167,3768,546,2169,390,1964,756,476,245,27122,"16000US2251410","monroe"
"154",359130,120233,215550,1927,1060,1360,2715,2066,2876,4977,2600,29368,4459,19836,3880,20938,7175,5694,2963,36004,"16000US2255000","neworleans"
"155",201332,83176,109913,416,340,541,1221,790,1990,2572,1341,19337,2718,9630,2739,9206,3271,1883,888,37531,"16000US2270000","shreveport"
"156",38577,23526,10367,124,75,373,180,79,451,261,234,2891,765,1648,504,2681,1602,350,376,71082,"16000US2401600","annapolis"
"157",620843,186716,393657,2623,1263,3287,6709,6088,7971,8739,4849,57060,9617,25032,6546,27195,12313,5445,3988,39788,"16000US2404000","baltimore"
"158",749950,654576,66958,1847,746,1564,5150,4049,6712,6612,4003,91553,16609,32417,14250,42520,20167,6131,4951,78668,"04043US24","cumberlandvalley"
"159",749950,654576,66958,1847,746,1564,5150,4049,6712,6612,4003,91553,16609,32417,14250,42520,20167,6131,4951,78668,"04043US24","easternshore"
