"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"5185","Clovis, CA, USA","Clovis","CA",93304,65300,64531,2909,533,124,178,244,188,518,469,555,5570,1598,5758,2740,5874,1948,804,304
"6470","Venice, Los Angeles, CA, USA","Venice","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6471","Stockton, IN, USA","Stockton","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6472","Bay Street, CA, USA","Bay Street","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5190","Petaluma Joint Union High, CA, USA","Petaluma Joint Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5192","Napa, CA, USA","Napa","CA",76560,62642,65772,693,490,515,2381,711,559,649,654,462,5501,1276,3861,1698,4482,1179,795,306
"6477","Milpitas, CA, USA","Milpitas","CA",66038,94589,14415,2329,263,157,310,187,343,250,647,533,4542,1149,2893,2169,6014,2942,171,492
"6478","North Sacramento, Sacramento, CA, USA","North Sacramento","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6479","Perris Union High, CA, USA","Perris Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6480","Elk Grove, CA, USA","Elk Grove","CA",146537,78564,64921,16330,724,578,698,336,264,376,535,929,7313,3112,7801,4985,9546,2560,834,526
"6481","Reno, NV, USA","Reno","NV",223558,49700,176883,7284,695,709,1407,1259,1763,1278,1957,1507,17532,4109,14000,4964,13043,4293,2166,1293
"6482","Culver City, CA, USA","Culver City","CA",38899,75596,23458,4348,79,50,149,114,58,122,212,197,1627,584,2236,907,4037,1724,728,453
"5199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5200","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6485","Marin County, CA, USA","Marin County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
